timestamp,host,alert_type,action,urgency,safe_to_automate,dry_run,success
2026-04-06T14:47:04.974538,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-06T14:47:12.698228,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-06T14:47:23.841462,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-06T14:47:32.044118,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-06T14:47:41.210223,web-server-02,service_down,service_down,high,True,True,True
2026-04-06T14:55:44.448535,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-06T14:55:53.330395,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-06T14:56:06.666921,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-06T14:56:28.981060,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-06T14:56:37.058915,web-server-02,service_down,service_down,high,True,True,True
2026-04-06T15:29:15.570307,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-06T15:29:24.121349,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-06T15:29:46.888281,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-06T15:29:55.912565,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-06T15:30:06.198371,web-server-02,service_down,service_down,high,True,True,True
2026-04-06T16:04:19.174482,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-06T16:04:29.254617,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-06T16:04:37.778700,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-06T16:04:47.022307,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-06T16:04:55.549596,web-server-02,service_down,service_down,high,True,True,True
2026-04-07T00:05:50.600982,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:05:54.607630,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:05:58.608980,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:06:02.613797,k8s-node-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:06:06.626639,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:07:42.124902,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T00:07:56.190218,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-07T00:08:11.775250,web-server-01,high_cpu,high_cpu,high,False,True,False
2026-04-07T00:08:22.767223,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-07T00:08:31.679803,web-server-02,service_down,service_down,high,True,True,True
2026-04-07T00:14:29.144151,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T00:14:37.383136,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-07T00:14:46.273363,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-07T00:14:55.306724,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-07T00:15:03.844301,web-server-02,restart_postgresql.yml,restart_postgresql.yml,high,True,True,False
2026-04-07T00:17:36.877536,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T00:17:46.084604,web-server-02,nginx_down,nginx_down,high,True,True,True
2026-04-07T00:17:56.872594,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-07T00:18:08.815323,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-07T00:18:20.951151,web-server-02,restart_postgresql.yml,restart_postgresql.yml,high,True,True,True
2026-04-07T00:26:45.521924,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:32:40.519806,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T00:53:47.544906,web-server-01,disk_full,disk_full,high,False,True,False
2026-04-07T00:53:53.656631,web-server-02,nginx_down,nginx_down,critical,False,True,False
2026-04-07T00:53:59.315847,web-server-01,high_cpu,high_cpu,high,False,True,False
2026-04-07T00:54:05.884099,k8s-node-01,high_memory,high_memory,critical,False,True,False
2026-04-07T00:54:12.481545,web-server-02,service_down,service_down,critical,False,True,False
2026-04-07T00:54:40.026983,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T00:54:46.025374,web-server-02,nginx_down,nginx_down,critical,True,True,True
2026-04-07T00:54:53.212915,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-07T00:54:59.475770,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-07T00:55:05.302077,web-server-02,service_down,service_down,critical,True,True,True
2026-04-07T01:10:43.016039,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:10:47.029446,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:10:51.034710,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:10:55.048090,k8s-node-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:10:59.052578,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:11:25.850890,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:11:29.866070,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:11:33.869389,web-server-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:11:37.884937,k8s-node-01,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:11:41.887975,web-server-02,escalate_to_human,escalate_to_human,high,False,True,False
2026-04-07T01:12:51.998023,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T01:12:58.489451,web-server-02,nginx_down,nginx_down,critical,True,True,True
2026-04-07T01:13:04.470664,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-07T01:13:10.966837,k8s-node-01,high_memory,high_memory,high,True,True,True
2026-04-07T01:13:17.261463,web-server-02,service_down,service_down,critical,True,True,True
2026-04-07T01:34:58.721613,web-server-01,disk_full,disk_full,high,True,True,True
2026-04-07T01:35:05.369025,web-server-02,nginx_down,nginx_down,critical,True,True,True
2026-04-07T01:35:11.806578,web-server-01,high_cpu,high_cpu,high,True,True,True
2026-04-07T01:35:18.476387,k8s-node-01,high_memory,high_memory,critical,True,True,True
2026-04-07T01:35:24.826184,web-server-02,service_down,service_down,critical,True,True,True
2026-04-07T02:31:38.215171,web-server-01,disk_full,disk_full,high,True,True,True
